cls_model,loss,is_default,status,req_arg_n_series,req_arg_S,req_arg_input_size,other_req_args,loss_arg_level,loss_arg_quantiles,loss_arg_distribution,loss_arg_q,config_patch_len,config_n_series,error_detail
AutoDeepNPTS,HuberIQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,HuberLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,HuberMQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,HuberQLoss,0,1,0,0,0,,0,0,0,1,,,
AutoDeepNPTS,IQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,MAE,1,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,MAPE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,MASE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,MQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,MSE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,NBMM,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,PMM,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,QuantileLayer,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,QuantileLoss,0,1,0,0,0,,0,0,0,1,,,
AutoDeepNPTS,RMSE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,SMAPE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,TukeyLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,relMSE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,sCRPS,0,1,0,0,0,,0,0,0,0,,,
AutoDilatedRNN,Accuracy,0,1,0,0,0,,0,0,0,0,,,
AutoDilatedRNN,DistributionLoss,0,1,0,0,0,,0,0,1,0,,,
AutoDilatedRNN,GMM,0,1,0,0,0,,0,0,0,0,,,
AutoDilatedRNN,HuberIQLoss,0,1,0,0,0,,0,0,0,0,,,
