cls_model,backend,search_alg,status,note
AutoRNN,ray,Ray_OptunaSearch,✅ OK,
AutoRNN,ray,Ray_HyperOptSearch,✅ OK,
AutoRNN,ray,None,✅ OK,
AutoRNN,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoRNN,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoRNN,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoRNN,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoSOFTS,ray,Basic,✅ OK,
AutoSOFTS,ray,Ray_OptunaSearch,✅ OK,
AutoSOFTS,ray,Ray_HyperOptSearch,✅ OK,
AutoSOFTS,ray,None,✅ OK,
AutoSOFTS,optuna,Basic,❌ Error,'dict' object is not callable...
AutoSOFTS,optuna,Ray_OptunaSearch,❌ Error,'dict' object is not callable...
AutoSOFTS,optuna,Ray_HyperOptSearch,❌ Error,'dict' object is not callable...
AutoSOFTS,optuna,None,❌ Error,'dict' object is not callable...
AutoStemGNN,ray,Basic,✅ OK,
AutoStemGNN,ray,Ray_OptunaSearch,✅ OK,
AutoStemGNN,ray,Ray_HyperOptSearch,✅ OK,
AutoStemGNN,ray,None,✅ OK,
AutoStemGNN,optuna,Basic,❌ Error,'dict' object is not callable...
AutoStemGNN,optuna,Ray_OptunaSearch,❌ Error,'dict' object is not callable...
AutoStemGNN,optuna,Ray_HyperOptSearch,❌ Error,'dict' object is not callable...
AutoStemGNN,optuna,None,❌ Error,'dict' object is not callable...
AutoTCN,ray,Basic,✅ OK,
AutoTCN,ray,Ray_OptunaSearch,✅ OK,
AutoTCN,ray,Ray_HyperOptSearch,✅ OK,
AutoTCN,ray,None,✅ OK,
AutoTCN,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoTCN,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoTCN,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoTCN,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoTFT,ray,Basic,✅ OK,
AutoTFT,ray,Ray_OptunaSearch,✅ OK,
AutoTFT,ray,Ray_HyperOptSearch,✅ OK,
AutoTFT,ray,None,✅ OK,
AutoTFT,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoTFT,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoTFT,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoTFT,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoTSMixer,ray,Basic,✅ OK,
AutoTSMixer,ray,Ray_OptunaSearch,✅ OK,
AutoTSMixer,ray,Ray_HyperOptSearch,✅ OK,
AutoTSMixer,ray,None,✅ OK,
AutoTSMixer,optuna,Basic,❌ Error,'dict' object is not callable...
AutoTSMixer,optuna,Ray_OptunaSearch,❌ Error,'dict' object is not callable...
AutoTSMixer,optuna,Ray_HyperOptSearch,❌ Error,'dict' object is not callable...
AutoTSMixer,optuna,None,❌ Error,'dict' object is not callable...
AutoTSMixerx,ray,Basic,✅ OK,
AutoTSMixerx,ray,Ray_OptunaSearch,✅ OK,
AutoTSMixerx,ray,Ray_HyperOptSearch,✅ OK,
AutoTSMixerx,ray,None,✅ OK,
AutoTSMixerx,optuna,Basic,❌ Error,'dict' object is not callable...
